Object,Locations
herring fillets,"{1: ('childs room', 1.0), 2: ('closet', 1.0), 3: ('storage room', 1.0), 4: ('kitchen', 1.0), 5: ('living room', 1.0), 6: ('garage', 1.0), 7: ('pantry room', 1.0), 8: ('exercise room', 1.0), 9: ('utility room', 1.0), 10: ('playroom', 1.0), 11: ('television room', 1.0), 12: ('corridor', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('home office', 1.0), 16: ('dining room', 1.0), 17: ('bathroom', 1.0)}"
honey dipper,"{1: ('television room', 1.0), 2: ('living room', 1.0), 3: ('lobby', 1.0), 4: ('dining room', 1.0), 5: ('childs room', 1.0), 6: ('garage', 1.0), 7: ('bathroom', 1.0), 8: ('kitchen', 1.0), 9: ('storage room', 1.0), 10: ('utility room', 1.0), 11: ('corridor', 1.0), 12: ('exercise room', 1.0), 13: ('bedroom', 1.0), 14: ('playroom', 1.0), 15: ('closet', 1.0), 16: ('home office', 1.0), 17: ('pantry room', 1.0)}"
houseplant,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
incontinence pads,"{1: ('childs room', 1.0), 2: ('playroom', 1.0), 3: ('garage', 1.0), 4: ('corridor', 1.0), 5: ('exercise room', 1.0), 6: ('closet', 1.0), 7: ('storage room', 1.0), 8: ('lobby', 1.0), 9: ('bathroom', 1.0), 10: ('pantry room', 1.0), 11: ('living room', 1.0), 12: ('television room', 1.0), 13: ('utility room', 1.0), 14: ('bedroom', 1.0), 15: ('home office', 1.0), 16: ('dining room', 1.0), 17: ('kitchen', 1.0)}"
ink cartridge,"{1: ('dining room', 1.0), 2: ('storage room', 1.0), 3: ('living room', 1.0), 4: ('television room', 1.0), 5: ('corridor', 1.0), 6: ('bathroom', 1.0), 7: ('childs room', 1.0), 8: ('playroom', 1.0), 9: ('home office', 1.0), 10: ('kitchen', 1.0), 11: ('lobby', 1.0), 12: ('garage', 1.0), 13: ('bedroom', 1.0), 14: ('pantry room', 1.0), 15: ('utility room', 1.0), 16: ('closet', 1.0), 17: ('exercise room', 1.0)}"
instant camera,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('television room', 1.0), 4: ('garage', 1.0), 5: ('bedroom', 1.0), 6: ('dining room', 1.0), 7: ('utility room', 1.0), 8: ('exercise room', 1.0), 9: ('home office', 1.0), 10: ('corridor', 1.0), 11: ('bathroom', 1.0), 12: ('playroom', 1.0), 13: ('childs room', 1.0), 14: ('pantry room', 1.0), 15: ('storage room', 1.0), 16: ('lobby', 1.0), 17: ('closet', 1.0)}"
invitation card,"{1: ('childs room', 1.0), 2: ('corridor', 1.0), 3: ('lobby', 1.0), 4: ('garage', 1.0), 5: ('dining room', 1.0), 6: ('pantry room', 1.0), 7: ('kitchen', 1.0), 8: ('closet', 1.0), 9: ('utility room', 1.0), 10: ('exercise room', 1.0), 11: ('home office', 1.0), 12: ('living room', 1.0), 13: ('playroom', 1.0), 14: ('television room', 1.0), 15: ('storage room', 1.0), 16: ('bedroom', 1.0), 17: ('bathroom', 1.0)}"
jar,"{1: ('garage', 1.0), 2: ('bedroom', 1.0), 3: ('home office', 1.0), 4: ('pantry room', 1.0), 5: ('childs room', 1.0), 6: ('lobby', 1.0), 7: ('utility room', 1.0), 8: ('storage room', 1.0), 9: ('television room', 1.0), 10: ('kitchen', 1.0), 11: ('bathroom', 1.0), 12: ('living room', 1.0), 13: ('dining room', 1.0), 14: ('corridor', 1.0), 15: ('playroom', 1.0), 16: ('closet', 1.0), 17: ('exercise room', 1.0)}"
jenga,"{1: ('dining room', 1.0), 2: ('bedroom', 1.0), 3: ('television room', 1.0), 4: ('garage', 1.0), 5: ('kitchen', 1.0), 6: ('childs room', 1.0), 7: ('storage room', 1.0), 8: ('home office', 1.0), 9: ('closet', 1.0), 10: ('playroom', 1.0), 11: ('living room', 1.0), 12: ('lobby', 1.0), 13: ('exercise room', 1.0), 14: ('corridor', 1.0), 15: ('bathroom', 1.0), 16: ('pantry room', 1.0), 17: ('utility room', 1.0)}"
jewelry box,"{1: ('garage', 1.0), 2: ('bedroom', 1.0), 3: ('home office', 1.0), 4: ('pantry room', 1.0), 5: ('childs room', 1.0), 6: ('lobby', 1.0), 7: ('utility room', 1.0), 8: ('storage room', 1.0), 9: ('television room', 1.0), 10: ('kitchen', 1.0), 11: ('bathroom', 1.0), 12: ('living room', 1.0), 13: ('dining room', 1.0), 14: ('corridor', 1.0), 15: ('playroom', 1.0), 16: ('closet', 1.0), 17: ('exercise room', 1.0)}"
kettle,"{1: ('kitchen', 1.0)}"
keyboard,"{1: ('pantry room', 1.0), 2: ('kitchen', 1.0), 3: ('utility room', 1.0), 4: ('playroom', 1.0), 5: ('bathroom', 1.0), 6: ('exercise room', 1.0), 7: ('closet', 1.0), 8: ('bedroom', 1.0), 9: ('home office', 1.0), 10: ('lobby', 1.0), 11: ('television room', 1.0), 12: ('dining room', 1.0), 13: ('garage', 1.0), 14: ('childs room', 1.0), 15: ('living room', 1.0), 16: ('storage room', 1.0), 17: ('corridor', 1.0)}"
keychain,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
knife,"{1: ('kitchen', 3.25), 2: ('utility room', 1.0), 3: ('television room', 1.0), 4: ('corridor', 1.0), 5: ('pantry room', 1.0), 6: ('playroom', 1.0), 7: ('closet', 1.0), 8: ('bathroom', 1.0), 9: ('home office', 1.0), 10: ('garage', 1.0), 11: ('bedroom', 1.0), 12: ('dining room', 1.0), 13: ('lobby', 1.0), 14: ('storage room', 1.0), 15: ('exercise room', 1.0), 16: ('living room', 1.0), 17: ('childs room', 1.0)}"
knife block,"{1: ('garage', 1.0), 2: ('bathroom', 1.0), 3: ('living room', 1.0), 4: ('dining room', 1.0), 5: ('television room', 1.0), 6: ('bedroom', 1.0), 7: ('playroom', 1.0), 8: ('closet', 1.0), 9: ('lobby', 1.0), 10: ('storage room', 1.0), 11: ('corridor', 1.0), 12: ('utility room', 1.0), 13: ('home office', 1.0), 14: ('pantry room', 1.0), 15: ('childs room', 1.0), 16: ('kitchen', 1.0), 17: ('exercise room', 1.0)}"
labeling tape,"{1: ('utility room', 1.0), 2: ('storage room', 1.0), 3: ('garage', 1.0), 4: ('childs room', 1.0), 5: ('pantry room', 1.0), 6: ('dining room', 1.0), 7: ('playroom', 1.0), 8: ('living room', 1.0), 9: ('exercise room', 1.0), 10: ('home office', 1.0), 11: ('bedroom', 1.0), 12: ('lobby', 1.0), 13: ('closet', 1.0), 14: ('corridor', 1.0), 15: ('kitchen', 1.0), 16: ('bathroom', 1.0), 17: ('television room', 1.0)}"
ladle,"{1: ('kitchen', 1.5)}"
lamp,"{1: ('bedroom', 1.5), 2: ('living room', 1.0), 3: ('bathroom', 1.0), 4: ('closet', 1.0), 5: ('garage', 1.0), 6: ('corridor', 1.0), 7: ('utility room', 1.0), 8: ('kitchen', 1.0), 9: ('television room', 1.0), 10: ('dining room', 1.0), 11: ('playroom', 1.0), 12: ('exercise room', 1.0), 13: ('storage room', 1.0), 14: ('home office', 1.0), 15: ('lobby', 1.0), 16: ('childs room', 1.0), 17: ('pantry room', 1.0)}"
lantern,"{1: ('kitchen', 1.0), 2: ('corridor', 1.0), 3: ('pantry room', 1.0), 4: ('storage room', 1.0), 5: ('garage', 1.0), 6: ('exercise room', 1.0), 7: ('playroom', 1.0), 8: ('bathroom', 1.0), 9: ('utility room', 1.0), 10: ('closet', 1.0), 11: ('bedroom', 1.0), 12: ('childs room', 1.0), 13: ('dining room', 1.0), 14: ('home office', 1.0), 15: ('living room', 1.0), 16: ('television room', 1.0), 17: ('lobby', 1.0)}"
laptop,"{1: ('living room', 2.0), 2: ('bedroom', 2.0), 3: ('lobby', 1.0), 4: ('garage', 1.0), 5: ('corridor', 1.0), 6: ('television room', 1.0), 7: ('closet', 1.0), 8: ('pantry room', 1.0), 9: ('utility room', 1.0), 10: ('kitchen', 1.0), 11: ('home office', 1.0), 12: ('dining room', 1.0), 13: ('storage room', 1.0), 14: ('playroom', 1.0), 15: ('bathroom', 1.0), 16: ('childs room', 1.0), 17: ('exercise room', 1.0)}"
laptop cover,"{1: ('corridor', 1.0), 2: ('childs room', 1.0), 3: ('bedroom', 1.0), 4: ('pantry room', 1.0), 5: ('living room', 1.0), 6: ('kitchen', 1.0), 7: ('garage', 1.0), 8: ('home office', 1.0), 9: ('exercise room', 1.0), 10: ('dining room', 1.0), 11: ('bathroom', 1.0), 12: ('lobby', 1.0), 13: ('playroom', 1.0), 14: ('closet', 1.0), 15: ('television room', 1.0), 16: ('utility room', 1.0), 17: ('storage room', 1.0)}"
laptop stand,"{1: ('home office', 1.0), 2: ('closet', 1.0), 3: ('storage room', 1.0), 4: ('exercise room', 1.0), 5: ('childs room', 1.0), 6: ('lobby', 1.0), 7: ('kitchen', 1.0), 8: ('utility room', 1.0), 9: ('pantry room', 1.0), 10: ('dining room', 1.0), 11: ('living room', 1.0), 12: ('bedroom', 1.0), 13: ('corridor', 1.0), 14: ('bathroom', 1.0), 15: ('television room', 1.0), 16: ('garage', 1.0), 17: ('playroom', 1.0)}"
large marker,"{1: ('utility room', 1.0), 2: ('childs room', 1.0), 3: ('pantry room', 1.0), 4: ('playroom', 1.0), 5: ('television room', 1.0), 6: ('kitchen', 1.0), 7: ('dining room', 1.0), 8: ('corridor', 1.0), 9: ('bathroom', 1.0), 10: ('home office', 1.0), 11: ('bedroom', 1.0), 12: ('lobby', 1.0), 13: ('closet', 1.0), 14: ('exercise room', 1.0), 15: ('garage', 1.0), 16: ('storage room', 1.0), 17: ('living room', 1.0)}"
laundry box,"{1: ('television room', 1.0), 2: ('home office', 1.0), 3: ('dining room', 1.0), 4: ('exercise room', 1.0), 5: ('bathroom', 1.0), 6: ('storage room', 1.0), 7: ('kitchen', 1.0), 8: ('garage', 1.0), 9: ('lobby', 1.0), 10: ('pantry room', 1.0), 11: ('living room', 1.0), 12: ('corridor', 1.0), 13: ('utility room', 1.0), 14: ('playroom', 1.0), 15: ('closet', 1.0), 16: ('bedroom', 1.0), 17: ('childs room', 1.0)}"
laundryhamper,"{1: ('bedroom', 1.0)}"
laxative,"{1: ('childs room', 1.0), 2: ('closet', 1.0), 3: ('bathroom', 1.0), 4: ('bedroom', 1.0), 5: ('utility room', 1.0), 6: ('kitchen', 1.0), 7: ('exercise room', 1.0), 8: ('home office', 1.0), 9: ('corridor', 1.0), 10: ('playroom', 1.0), 11: ('living room', 1.0), 12: ('pantry room', 1.0), 13: ('garage', 1.0), 14: ('dining room', 1.0), 15: ('storage room', 1.0), 16: ('lobby', 1.0), 17: ('television room', 1.0)}"
lego duplo,"{1: ('utility room', 1.0), 2: ('living room', 1.0), 3: ('corridor', 1.0), 4: ('dining room', 1.0), 5: ('exercise room', 1.0), 6: ('playroom', 1.0), 7: ('television room', 1.0), 8: ('home office', 1.0), 9: ('bedroom', 1.0), 10: ('garage', 1.0), 11: ('storage room', 1.0), 12: ('pantry room', 1.0), 13: ('closet', 1.0), 14: ('childs room', 1.0), 15: ('lobby', 1.0), 16: ('kitchen', 1.0), 17: ('bathroom', 1.0)}"
lemon,"{1: ('kitchen', 1.0), 2: ('pantry room', 1.0), 3: ('bathroom', 1.0), 4: ('corridor', 1.0), 5: ('playroom', 1.0), 6: ('lobby', 1.0), 7: ('closet', 1.0), 8: ('bedroom', 1.0), 9: ('utility room', 1.0), 10: ('storage room', 1.0), 11: ('exercise room', 1.0), 12: ('garage', 1.0), 13: ('dining room', 1.0), 14: ('childs room', 1.0), 15: ('home office', 1.0), 16: ('living room', 1.0), 17: ('television room', 1.0)}"
letter holder,"{1: ('television room', 1.0), 2: ('storage room', 1.0), 3: ('living room', 1.0), 4: ('exercise room', 1.0), 5: ('home office', 1.0), 6: ('kitchen', 1.0), 7: ('dining room', 1.0), 8: ('closet', 1.0), 9: ('bedroom', 1.0), 10: ('corridor', 1.0), 11: ('pantry room', 1.0), 12: ('playroom', 1.0), 13: ('utility room', 1.0), 14: ('garage', 1.0), 15: ('lobby', 1.0), 16: ('bathroom', 1.0), 17: ('childs room', 1.0)}"
lettuce,"{1: ('kitchen', 1.0)}"
light bulb,"{1: ('living room', 1.0), 2: ('kitchen', 1.0), 3: ('television room', 1.0), 4: ('playroom', 1.0), 5: ('pantry room', 1.0), 6: ('closet', 1.0), 7: ('utility room', 1.0), 8: ('corridor', 1.0), 9: ('bedroom', 1.0), 10: ('garage', 1.0), 11: ('exercise room', 1.0), 12: ('dining room', 1.0), 13: ('storage room', 1.0), 14: ('lobby', 1.0), 15: ('childs room', 1.0), 16: ('bathroom', 1.0), 17: ('home office', 1.0)}"
lightswitch,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
lime squeezer,"{1: ('childs room', 1.0), 2: ('closet', 1.0), 3: ('bathroom', 1.0), 4: ('bedroom', 1.0), 5: ('utility room', 1.0), 6: ('kitchen', 1.0), 7: ('exercise room', 1.0), 8: ('home office', 1.0), 9: ('corridor', 1.0), 10: ('playroom', 1.0), 11: ('living room', 1.0), 12: ('pantry room', 1.0), 13: ('garage', 1.0), 14: ('dining room', 1.0), 15: ('storage room', 1.0), 16: ('lobby', 1.0), 17: ('television room', 1.0)}"
lipstick,"{1: ('playroom', 1.0), 2: ('utility room', 1.0), 3: ('childs room', 1.0), 4: ('exercise room', 1.0), 5: ('storage room', 1.0), 6: ('lobby', 1.0), 7: ('kitchen', 1.0), 8: ('television room', 1.0), 9: ('closet', 1.0), 10: ('bathroom', 1.0), 11: ('garage', 1.0), 12: ('dining room', 1.0), 13: ('corridor', 1.0), 14: ('bedroom', 1.0), 15: ('home office', 1.0), 16: ('living room', 1.0), 17: ('pantry room', 1.0)}"
lunch bag,"{1: ('playroom', 1.0), 2: ('bathroom', 1.0), 3: ('living room', 1.0), 4: ('kitchen', 1.0), 5: ('corridor', 1.0), 6: ('television room', 1.0), 7: ('lobby', 1.0), 8: ('bedroom', 1.0), 9: ('utility room', 1.0), 10: ('storage room', 1.0), 11: ('pantry room', 1.0), 12: ('closet', 1.0), 13: ('dining room', 1.0), 14: ('home office', 1.0), 15: ('exercise room', 1.0), 16: ('childs room', 1.0), 17: ('garage', 1.0)}"
lunch box,"{1: ('bathroom', 1.0), 2: ('dining room', 1.0), 3: ('kitchen', 1.0), 4: ('exercise room', 1.0), 5: ('playroom', 1.0), 6: ('lobby', 1.0), 7: ('childs room', 1.0), 8: ('living room', 1.0), 9: ('utility room', 1.0), 10: ('corridor', 1.0), 11: ('television room', 1.0), 12: ('bedroom', 1.0), 13: ('garage', 1.0), 14: ('pantry room', 1.0), 15: ('home office', 1.0), 16: ('closet', 1.0), 17: ('storage room', 1.0)}"
magnifying glass,"{1: ('dining room', 1.0), 2: ('storage room', 1.0), 3: ('living room', 1.0), 4: ('television room', 1.0), 5: ('corridor', 1.0), 6: ('bathroom', 1.0), 7: ('childs room', 1.0), 8: ('playroom', 1.0), 9: ('home office', 1.0), 10: ('kitchen', 1.0), 11: ('lobby', 1.0), 12: ('garage', 1.0), 13: ('bedroom', 1.0), 14: ('pantry room', 1.0), 15: ('utility room', 1.0), 16: ('closet', 1.0), 17: ('exercise room', 1.0)}"
mascara,"{1: ('childs room', 1.0), 2: ('bathroom', 1.0), 3: ('living room', 1.0), 4: ('lobby', 1.0), 5: ('kitchen', 1.0), 6: ('corridor', 1.0), 7: ('exercise room', 1.0), 8: ('bedroom', 1.0), 9: ('garage', 1.0), 10: ('pantry room', 1.0), 11: ('television room', 1.0), 12: ('storage room', 1.0), 13: ('home office', 1.0), 14: ('dining room', 1.0), 15: ('playroom', 1.0), 16: ('utility room', 1.0), 17: ('closet', 1.0)}"
master chef can,"{1: ('closet', 1.0), 2: ('living room', 1.0), 3: ('playroom', 1.0), 4: ('childs room', 1.0), 5: ('bedroom', 1.0), 6: ('bathroom', 1.0), 7: ('dining room', 1.0), 8: ('pantry room', 1.0), 9: ('corridor', 1.0), 10: ('home office', 1.0), 11: ('exercise room', 1.0), 12: ('lobby', 1.0), 13: ('utility room', 1.0), 14: ('storage room', 1.0), 15: ('kitchen', 1.0), 16: ('garage', 1.0), 17: ('television room', 1.0)}"
measuring tape,"{1: ('living room', 1.0), 2: ('kitchen', 1.0), 3: ('television room', 1.0), 4: ('utility room', 1.0), 5: ('corridor', 1.0), 6: ('bedroom', 1.0), 7: ('lobby', 1.0), 8: ('exercise room', 1.0), 9: ('playroom', 1.0), 10: ('home office', 1.0), 11: ('childs room', 1.0), 12: ('closet', 1.0), 13: ('bathroom', 1.0), 14: ('pantry room', 1.0), 15: ('dining room', 1.0), 16: ('garage', 1.0), 17: ('storage room', 1.0)}"
medicine,"{1: ('childs room', 1.0), 2: ('closet', 1.0), 3: ('television room', 1.0), 4: ('corridor', 1.0), 5: ('bathroom', 1.0), 6: ('garage', 1.0), 7: ('bedroom', 1.0), 8: ('playroom', 1.0), 9: ('exercise room', 1.0), 10: ('storage room', 1.0), 11: ('kitchen', 1.0), 12: ('living room', 1.0), 13: ('home office', 1.0), 14: ('utility room', 1.0), 15: ('dining room', 1.0), 16: ('pantry room', 1.0), 17: ('lobby', 1.0)}"
microwave,"{1: ('kitchen', 2.0)}"
milk fror,"{1: ('playroom', 1.0), 2: ('pantry room', 1.0), 3: ('storage room', 1.0), 4: ('television room', 1.0), 5: ('bedroom', 1.0), 6: ('garage', 1.0), 7: ('closet', 1.0), 8: ('bathroom', 1.0), 9: ('exercise room', 1.0), 10: ('home office', 1.0), 11: ('childs room', 1.0), 12: ('living room', 1.0), 13: ('utility room', 1.0), 14: ('kitchen', 1.0), 15: ('corridor', 1.0), 16: ('dining room', 1.0), 17: ('lobby', 1.0)}"
mini soccer ball,"{1: ('corridor', 1.0), 2: ('home office', 1.0), 3: ('television room', 1.0), 4: ('playroom', 1.0), 5: ('lobby', 1.0), 6: ('storage room', 1.0), 7: ('garage', 1.0), 8: ('living room', 1.0), 9: ('pantry room', 1.0), 10: ('utility room', 1.0), 11: ('closet', 1.0), 12: ('dining room', 1.0), 13: ('bedroom', 1.0), 14: ('kitchen', 1.0), 15: ('bathroom', 1.0), 16: ('childs room', 1.0), 17: ('exercise room', 1.0)}"
mirror,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
morboard,"{1: ('television room', 1.0), 2: ('utility room', 1.0), 3: ('living room', 1.0), 4: ('dining room', 1.0), 5: ('pantry room', 1.0), 6: ('closet', 1.0), 7: ('lobby', 1.0), 8: ('exercise room', 1.0), 9: ('playroom', 1.0), 10: ('garage', 1.0), 11: ('home office', 1.0), 12: ('storage room', 1.0), 13: ('childs room', 1.0), 14: ('kitchen', 1.0), 15: ('corridor', 1.0), 16: ('bedroom', 1.0), 17: ('bathroom', 1.0)}"
mouse,"{1: ('kitchen', 1.5), 2: ('living room', 1.5), 3: ('attic', 1.0), 4: ('trap', 1.0), 5: ('storage room', 1.0), 6: ('childs room', 1.0), 7: ('utility room', 1.0), 8: ('corridor', 1.0), 9: ('bedroom', 1.0), 10: ('exercise room', 1.0), 11: ('pantry room', 1.0), 12: ('dining room', 1.0), 13: ('playroom', 1.0), 14: ('garage', 1.0), 15: ('bathroom', 1.0), 16: ('television room', 1.0), 17: ('closet', 1.0), 18: ('lobby', 1.0), 19: ('home office', 1.0)}"
mouse pad,"{1: ('home office', 1.0), 2: ('pantry room', 1.0), 3: ('lobby', 1.0), 4: ('utility room', 1.0), 5: ('playroom', 1.0), 6: ('closet', 1.0), 7: ('bedroom', 1.0), 8: ('bathroom', 1.0), 9: ('television room', 1.0), 10: ('corridor', 1.0), 11: ('exercise room', 1.0), 12: ('storage room', 1.0), 13: ('kitchen', 1.0), 14: ('living room', 1.0), 15: ('garage', 1.0), 16: ('childs room', 1.0), 17: ('dining room', 1.0)}"
movie dvd,"{1: ('home office', 1.0), 2: ('bedroom', 1.0), 3: ('pantry room', 1.0), 4: ('exercise room', 1.0), 5: ('garage', 1.0), 6: ('storage room', 1.0), 7: ('living room', 1.0), 8: ('kitchen', 1.0), 9: ('dining room', 1.0), 10: ('closet', 1.0), 11: ('television room', 1.0), 12: ('corridor', 1.0), 13: ('lobby', 1.0), 14: ('playroom', 1.0), 15: ('childs room', 1.0), 16: ('utility room', 1.0), 17: ('bathroom', 1.0)}"
mug,"{1: ('kitchen', 2.0), 2: ('bedroom', 2.0), 3: ('childs room', 1.0), 4: ('exercise room', 1.0), 5: ('bathroom', 1.0), 6: ('utility room', 1.0), 7: ('living room', 1.0), 8: ('playroom', 1.0), 9: ('television room', 1.0), 10: ('storage room', 1.0), 11: ('lobby', 1.0), 12: ('garage', 1.0), 13: ('home office', 1.0), 14: ('pantry room', 1.0), 15: ('closet', 1.0), 16: ('dining room', 1.0), 17: ('corridor', 1.0)}"
multiport hub,"{1: ('living room', 1.0), 2: ('bathroom', 1.0), 3: ('closet', 1.0), 4: ('garage', 1.0), 5: ('corridor', 1.0), 6: ('utility room', 1.0), 7: ('kitchen', 1.0), 8: ('television room', 1.0), 9: ('dining room', 1.0), 10: ('bedroom', 1.0), 11: ('playroom', 1.0), 12: ('exercise room', 1.0), 13: ('storage room', 1.0), 14: ('home office', 1.0), 15: ('lobby', 1.0), 16: ('childs room', 1.0), 17: ('pantry room', 1.0)}"
mustard bottle,"{1: ('home office', 1.0), 2: ('pantry room', 1.0), 3: ('lobby', 1.0), 4: ('utility room', 1.0), 5: ('playroom', 1.0), 6: ('closet', 1.0), 7: ('bedroom', 1.0), 8: ('bathroom', 1.0), 9: ('television room', 1.0), 10: ('corridor', 1.0), 11: ('exercise room', 1.0), 12: ('storage room', 1.0), 13: ('kitchen', 1.0), 14: ('living room', 1.0), 15: ('garage', 1.0), 16: ('childs room', 1.0), 17: ('dining room', 1.0)}"
neck rest,"{1: ('living room', 1.0), 2: ('kitchen', 1.0), 3: ('television room', 1.0), 4: ('playroom', 1.0), 5: ('pantry room', 1.0), 6: ('closet', 1.0), 7: ('utility room', 1.0), 8: ('corridor', 1.0), 9: ('bedroom', 1.0), 10: ('garage', 1.0), 11: ('exercise room', 1.0), 12: ('dining room', 1.0), 13: ('storage room', 1.0), 14: ('lobby', 1.0), 15: ('childs room', 1.0), 16: ('bathroom', 1.0), 17: ('home office', 1.0)}"
newspaper,"{1: ('living room', 1.0)}"
nine hole peg test,"{1: ('garage', 1.0), 2: ('playroom', 1.0), 3: ('television room', 1.0), 4: ('storage room', 1.0), 5: ('kitchen', 1.0), 6: ('home office', 1.0), 7: ('living room', 1.0), 8: ('pantry room', 1.0), 9: ('bedroom', 1.0), 10: ('closet', 1.0), 11: ('bathroom', 1.0), 12: ('dining room', 1.0), 13: ('corridor', 1.0), 14: ('exercise room', 1.0), 15: ('utility room', 1.0), 16: ('childs room', 1.0), 17: ('lobby', 1.0)}"
nintendo switch,"{1: ('television room', 1.0), 2: ('bathroom', 1.0), 3: ('exercise room', 1.0), 4: ('storage room', 1.0), 5: ('kitchen', 1.0), 6: ('lobby', 1.0), 7: ('dining room', 1.0), 8: ('home office', 1.0), 9: ('garage', 1.0), 10: ('pantry room', 1.0), 11: ('playroom', 1.0), 12: ('corridor', 1.0), 13: ('closet', 1.0), 14: ('childs room', 1.0), 15: ('living room', 1.0), 16: ('utility room', 1.0), 17: ('bedroom', 1.0)}"
orange,"{1: ('lobby', 1.0), 2: ('home office', 1.0), 3: ('kitchen', 1.0), 4: ('garage', 1.0), 5: ('playroom', 1.0), 6: ('bedroom', 1.0), 7: ('television room', 1.0), 8: ('corridor', 1.0), 9: ('living room', 1.0), 10: ('utility room', 1.0), 11: ('childs room', 1.0), 12: ('exercise room', 1.0), 13: ('dining room', 1.0), 14: ('bathroom', 1.0), 15: ('closet', 1.0), 16: ('pantry room', 1.0), 17: ('storage room', 1.0)}"
ottoman,"{1: ('living room', 1.5)}"
padlock,"{1: ('television room', 1.0), 2: ('home office', 1.0), 3: ('garage', 1.0), 4: ('pantry room', 1.0), 5: ('storage room', 1.0), 6: ('bathroom', 1.0), 7: ('exercise room', 1.0), 8: ('kitchen', 1.0), 9: ('playroom', 1.0), 10: ('corridor', 1.0), 11: ('lobby', 1.0), 12: ('closet', 1.0), 13: ('living room', 1.0), 14: ('childs room', 1.0), 15: ('utility room', 1.0), 16: ('bedroom', 1.0), 17: ('dining room', 1.0)}"
paint bottle set,"{1: ('bathroom', 1.0), 2: ('storage room', 1.0), 3: ('lobby', 1.0), 4: ('childs room', 1.0), 5: ('pantry room', 1.0), 6: ('exercise room', 1.0), 7: ('home office', 1.0), 8: ('dining room', 1.0), 9: ('playroom', 1.0), 10: ('living room', 1.0), 11: ('corridor', 1.0), 12: ('bedroom', 1.0), 13: ('utility room', 1.0), 14: ('closet', 1.0), 15: ('kitchen', 1.0), 16: ('garage', 1.0), 17: ('television room', 1.0)}"
paint maker,"{1: ('television room', 1.0), 2: ('storage room', 1.0), 3: ('garage', 1.0), 4: ('lobby', 1.0), 5: ('utility room', 1.0), 6: ('childs room', 1.0), 7: ('playroom', 1.0), 8: ('living room', 1.0), 9: ('home office', 1.0), 10: ('exercise room', 1.0), 11: ('bathroom', 1.0), 12: ('corridor', 1.0), 13: ('closet', 1.0), 14: ('dining room', 1.0), 15: ('kitchen', 1.0), 16: ('pantry room', 1.0), 17: ('bedroom', 1.0)}"
painting,"{1: ('living room', 1.0), 2: ('bedroom', 1.0), 3: ('bathroom', 1.0)}"
pan,"{1: ('kitchen', 2.0), 2: ('pantry room', 1.0), 3: ('bathroom', 1.0), 4: ('corridor', 1.0), 5: ('playroom', 1.0), 6: ('lobby', 1.0), 7: ('closet', 1.0), 8: ('bedroom', 1.0), 9: ('utility room', 1.0), 10: ('storage room', 1.0), 11: ('exercise room', 1.0), 12: ('garage', 1.0), 13: ('dining room', 1.0), 14: ('childs room', 1.0), 15: ('home office', 1.0), 16: ('living room', 1.0), 17: ('television room', 1.0)}"
paper bag,"{1: ('pantry room', 1.0), 2: ('childs room', 1.0), 3: ('television room', 1.0), 4: ('kitchen', 1.0), 5: ('storage room', 1.0), 6: ('bathroom', 1.0), 7: ('dining room', 1.0), 8: ('playroom', 1.0), 9: ('closet', 1.0), 10: ('bedroom', 1.0), 11: ('corridor', 1.0), 12: ('living room', 1.0), 13: ('garage', 1.0), 14: ('utility room', 1.0), 15: ('home office', 1.0), 16: ('exercise room', 1.0), 17: ('lobby', 1.0)}"
papertowelroll,"{1: ('kitchen', 1.0), 2: ('bathroom', 1.0)}"
parchment sheet,"{1: ('lobby', 1.0), 2: ('living room', 1.0), 3: ('closet', 1.0), 4: ('pantry room', 1.0), 5: ('corridor', 1.0), 6: ('dining room', 1.0), 7: ('bedroom', 1.0), 8: ('utility room', 1.0), 9: ('kitchen', 1.0), 10: ('bathroom', 1.0), 11: ('home office', 1.0), 12: ('childs room', 1.0), 13: ('playroom', 1.0), 14: ('exercise room', 1.0), 15: ('storage room', 1.0), 16: ('television room', 1.0), 17: ('garage', 1.0)}"
peach,"{1: ('living room', 1.0), 2: ('playroom', 1.0), 3: ('storage room', 1.0), 4: ('garage', 1.0), 5: ('bedroom', 1.0), 6: ('home office', 1.0), 7: ('closet', 1.0), 8: ('bathroom', 1.0), 9: ('lobby', 1.0), 10: ('television room', 1.0), 11: ('corridor', 1.0), 12: ('dining room', 1.0), 13: ('pantry room', 1.0), 14: ('childs room', 1.0), 15: ('kitchen', 1.0), 16: ('exercise room', 1.0), 17: ('utility room', 1.0)}"
